del;del_nom;gou;gou_nom;reg;reg_nom;zon;zon_nom;cap_gou;POPTO2004;POPCO2004;NBLOG2004;IMMIG9404;EMIG9404;POPTO2010;SUP2010;IDRVA2011
TS2210;Kairouan Nord;TS221;Kairouan;TS22;Centre-ouest;TS2;Centre;1;83794;70097;21092;4467;15689;91572;250,3;0,369
TS2211;Kairouan Sud;TS221;Kairouan;TS22;Centre-ouest;TS2;Centre;0;80444;47806;18651;6288;3380;86201;573,5;0,355
TS2212;Echebika;TS221;Kairouan;TS22;Centre-ouest;TS2;Centre;0;33889;2505;6901;321;1340;33972;490,7;0,208
TS2213;Sbikha;TS221;Kairouan;TS22;Centre-ouest;TS2;Centre;0;67315;6776;12868;769;2272;68689;1047,1;0,209
TS2214;EL Ouslatia;TS221;Kairouan;TS22;Centre-ouest;TS2;Centre;0;36195;10095;8375;510;2938;33352;905,4;0,141
TS2215;Haffouz;TS221;Kairouan;TS22;Centre-ouest;TS2;Centre;0;43792;8225;8157;693;2394;45656;618,9;0,208
TS2216;El Alaa;TS221;Kairouan;TS22;Centre-ouest;TS2;Centre;0;31773;2657;6775;457;1943;30088;371,8;0,092
TS2217;Hajeb el Ayoun;TS221;Kairouan;TS22;Centre-ouest;TS2;Centre;0;35403;9648;7128;567;1570;36010;608,1;0,196
TS2218;Nasrallah;TS221;Kairouan;TS22;Centre-ouest;TS2;Centre;0;37112;8410;8178;345;2099;36345;714,8;0,172
TS2219;Echrarda;TS221;Kairouan;TS22;Centre-ouest;TS2;Centre;0;25903;1387;6130;284;1372;25773;387,1;0,189
TS221A;Bouhajla;TS221;Kairouan;TS22;Centre-ouest;TS2;Centre;0;70589;6002;14582;518;3206;71289;626,7;0,155
TS2220;Kasserine Nord;TS222;Kasserine;TS22;Centre-ouest;TS2;Centre;1;58343;55966;13467;3578;10393;62348;85,1;0,437
TS2221;Kasserine Sud;TS222;Kasserine;TS22;Centre-ouest;TS2;Centre;0;21139;0;4823;581;1746;22159;894,6;0,095
TS2222;Ezzouhour;TS222;Kasserine;TS22;Centre-ouest;TS2;Centre;0;20277;20277;4402;1052;667;21255;31,5;0,185
TS2223;Hassi Ferid;TS222;Kasserine;TS22;Centre-ouest;TS2;Centre;0;16890;0;3681;239;1305;17803;944,5;0
TS2224;Sbeitla;TS222;Kasserine;TS22;Centre-ouest;TS2;Centre;0;69539;20253;15083;1223;3373;72928;1114,8;0,213
